Desert Eagle | Blue Ply (Battle-Scarred)
AK-47 | Phantom Disruptor (Minimal Wear)
AUG | Tom Cat (Well-Worn)
MP5-SD | Desert Strike (Battle-Scarred)
StatTrak™ R8 Revolver | Bone Forged (Factory New)
Negev | Prototype (Minimal Wear)
AUG | Tom Cat (Battle-Scarred)
AWP | Capillary (Battle-Scarred)
Desert Eagle | Blue Ply (Well-Worn)
P2000 | Acid Etched (Battle-Scarred)
StatTrak™ R8 Revolver | Bone Forged (Battle-Scarred)
SG 553 | Darkwing (Minimal Wear)
CZ75-Auto | Distressed (Battle-Scarred)
Desert Eagle | Blue Ply (Minimal Wear)
MP5-SD | Desert Strike (Field-Tested)
StatTrak™ R8 Revolver | Bone Forged (Field-Tested)
AWP | Capillary (Minimal Wear)
Negev | Prototype (Well-Worn)
CZ75-Auto | Distressed (Well-Worn)
AUG | Tom Cat (Factory New)
CZ75-Auto | Distressed (Factory New)
CZ75-Auto | Distressed (Field-Tested)
Negev | Prototype (Field-Tested)
CZ75-Auto | Distressed (Minimal Wear)
Negev | Prototype (Factory New)
AWP | Capillary (Field-Tested)
MAG-7 | Justice (Battle-Scarred)
Desert Eagle | Blue Ply (Factory New)
SSG 08 | Fever Dream (Battle-Scarred)
P2000 | Acid Etched (Well-Worn)
AWP | Capillary (Factory New)
SG 553 | Darkwing (Field-Tested)
SG 553 | Darkwing (Battle-Scarred)
StatTrak™ R8 Revolver | Bone Forged (Minimal Wear)
P2000 | Acid Etched (Minimal Wear)
AUG | Tom Cat (Minimal Wear)
MAC-10 | Disco Tech (Battle-Scarred)
AUG | Tom Cat (Field-Tested)
SCAR-20 | Enforcer (Field-Tested)
SSG 08 | Fever Dream (Well-Worn)
Negev | Prototype (Battle-Scarred)
Sawed-Off | Apocalypto (Well-Worn)
SCAR-20 | Enforcer (Battle-Scarred)
Sawed-Off | Apocalypto (Factory New)
P2000 | Acid Etched (Field-Tested)
StatTrak™ R8 Revolver | Bone Forged (Well-Worn)
Glock-18 | Bullet Queen (Well-Worn)
AWP | Capillary (Well-Worn)
Desert Eagle | Blue Ply (Field-Tested)
MP5-SD | Desert Strike (Factory New)
Glock-18 | Bullet Queen (Field-Tested)
MP5-SD | Desert Strike (Minimal Wear)
Sawed-Off | Apocalypto (Battle-Scarred)
MP5-SD | Desert Strike (Well-Worn)
AK-47 | Phantom Disruptor (Battle-Scarred)
AK-47 | Phantom Disruptor (Field-Tested)
SSG 08 | Fever Dream (Minimal Wear)
Sawed-Off | Apocalypto (Field-Tested)
P2000 | Acid Etched (Factory New)
SSG 08 | Fever Dream (Field-Tested)
MAC-10 | Disco Tech (Field-Tested)
SG 553 | Darkwing (Well-Worn)
AK-47 | Phantom Disruptor (Well-Worn)
SSG 08 | Fever Dream (Factory New)
SCAR-20 | Enforcer (Minimal Wear)
SG 553 | Darkwing (Factory New)
AK-47 | Phantom Disruptor (Factory New)
Sawed-Off | Apocalypto (Minimal Wear)
M4A1-S | Player Two (Factory New)
MAG-7 | Justice (Minimal Wear)
SCAR-20 | Enforcer (Factory New)
MAC-10 | Disco Tech (Minimal Wear)
MAG-7 | Justice (Factory New)
MAG-7 | Justice (Well-Worn)
M4A1-S | Player Two (Field-Tested)
★ Ursus Knife | Doppler (Minimal Wear)
MAG-7 | Justice (Field-Tested)
★ Ursus Knife | Damascus Steel (Battle-Scarred)
★ Navaja Knife | Ultraviolet (Battle-Scarred)
Glock-18 | Bullet Queen (Factory New)
M4A1-S | Player Two (Battle-Scarred)
SCAR-20 | Enforcer (Well-Worn)
MAC-10 | Disco Tech (Well-Worn)
★ Stiletto Knife | Damascus Steel (Minimal Wear)
★ Talon Knife | Damascus Steel (Factory New)
★ Stiletto Knife | Marble Fade (Factory New)
M4A1-S | Player Two (Well-Worn)
MAC-10 | Disco Tech (Factory New)
★ Navaja Knife | Doppler (Factory New)
★ Stiletto Knife | Rust Coat (Battle-Scarred)
Glock-18 | Bullet Queen (Battle-Scarred)
Glock-18 | Bullet Queen (Minimal Wear)
★ Ursus Knife | Ultraviolet (Well-Worn)
★ Ursus Knife | Rust Coat (Battle-Scarred)
M4A1-S | Player Two (Minimal Wear)
★ Stiletto Knife | Doppler (Factory New)
★ Ursus Knife | Doppler (Factory New)
★ Ursus Knife | Marble Fade (Factory New)
★ Talon Knife | Doppler (Minimal Wear)
★ Ursus Knife | Tiger Tooth (Factory New)
★ Ursus Knife | Ultraviolet (Battle-Scarred)
★ Stiletto Knife | Ultraviolet (Battle-Scarred)
★ Talon Knife | Damascus Steel (Field-Tested)
★ Ursus Knife | Damascus Steel (Field-Tested)
★ Navaja Knife | Marble Fade (Factory New)
★ Stiletto Knife | Doppler (Minimal Wear)
★ Talon Knife | Damascus Steel (Well-Worn)
★ Talon Knife | Doppler (Factory New)
★ Talon Knife | Rust Coat (Battle-Scarred)
★ Ursus Knife | Ultraviolet (Field-Tested)
★ Talon Knife | Ultraviolet (Minimal Wear)
★ Navaja Knife | Damascus Steel (Well-Worn)
★ Talon Knife | Tiger Tooth (Factory New)
★ Stiletto Knife | Damascus Steel (Field-Tested)
★ Stiletto Knife | Tiger Tooth (Factory New)
★ Navaja Knife | Tiger Tooth (Minimal Wear)
★ Navaja Knife | Tiger Tooth (Factory New)
★ Talon Knife | Ultraviolet (Battle-Scarred)
★ Talon Knife | Damascus Steel (Minimal Wear)
★ Navaja Knife | Damascus Steel (Field-Tested)
★ Ursus Knife | Marble Fade (Minimal Wear)
★ Navaja Knife | Damascus Steel (Minimal Wear)
★ Talon Knife | Marble Fade (Factory New)
★ Ursus Knife | Damascus Steel (Factory New)
★ Ursus Knife | Ultraviolet (Minimal Wear)
★ Navaja Knife | Rust Coat (Well-Worn)
★ Stiletto Knife | Ultraviolet (Well-Worn)
★ Navaja Knife | Ultraviolet (Field-Tested)
★ Talon Knife | Ultraviolet (Field-Tested)
★ Ursus Knife | Damascus Steel (Well-Worn)
★ Stiletto Knife | Ultraviolet (Minimal Wear)
★ Stiletto Knife | Damascus Steel (Well-Worn)
★ Talon Knife | Damascus Steel (Battle-Scarred)
★ Stiletto Knife | Rust Coat (Well-Worn)
★ Stiletto Knife | Damascus Steel (Factory New)
★ Stiletto Knife | Marble Fade (Minimal Wear)
★ Talon Knife | Ultraviolet (Well-Worn)
★ Navaja Knife | Doppler (Minimal Wear)
★ Ursus Knife | Rust Coat (Well-Worn)
★ Stiletto Knife | Damascus Steel (Battle-Scarred)
★ Stiletto Knife | Ultraviolet (Field-Tested)
★ Talon Knife | Rust Coat (Well-Worn)
★ Navaja Knife | Rust Coat (Battle-Scarred)
★ Navaja Knife | Marble Fade (Minimal Wear)
★ Stiletto Knife | Tiger Tooth (Minimal Wear)
★ Navaja Knife | Damascus Steel (Factory New)
★ Navaja Knife | Damascus Steel (Battle-Scarred)
★ Stiletto Knife | Ultraviolet (Factory New)
★ Ursus Knife | Damascus Steel (Minimal Wear)
★ Navaja Knife | Ultraviolet (Well-Worn)
★ Ursus Knife | Ultraviolet (Factory New)
★ Navaja Knife | Ultraviolet (Minimal Wear)
★ Talon Knife | Marble Fade (Minimal Wear)
★ Talon Knife | Tiger Tooth (Minimal Wear)
★ Talon Knife | Ultraviolet (Factory New)
★ Ursus Knife | Tiger Tooth (Minimal Wear)
